[-3.69705039] , [-0.28964793]
[-3.59179507] , [0.71738446]
[-3.52886916] , [0.74057676]
[-3.36178114] , [0.14473998]
[-3.35830126] , [-0.09303029]
[-3.20068364] , [0.55250523]
[-2.81677403] , [-0.73253267]
[-2.76807528] , [0.61754344]
[-2.75186753] , [0.71097447]
[-2.62692281] , [1.08160763]
[-2.4424725] , [-0.70123117]
[-2.37774262] , [-0.01645185]
[-2.25683625] , [0.87859172]
[-1.99842334] , [0.86555021]
[-1.7365677] , [1.87374362]
[-1.63067925] , [-0.31604406]
[-1.59300548] , [-0.22789819]
[-1.46390908] , [0.80779641]
[-1.42410729] , [0.09927673]
[-1.35911723] , [-0.63216125]
[-1.17206006] , [0.87836099]
[-0.94859453] , [1.18298875]
[-0.89366021] , [-0.71403305]
[-0.75698736] , [0.66238189]
[-0.71603538] , [0.31297297]
[-0.69812441] , [0.88211883]
[-0.6654469] , [0.9099238]
[-0.53155391] , [0.70763219]
[-0.53120142] , [0.54075506]
[-0.37095083] , [1.0319031]
[-0.32624334] , [0.2535502]
[-0.26691939] , [1.60262059]
[-0.16421188] , [0.89055305]
[-0.16068756] , [1.10223899]
[-0.06429746] , [1.22143947]
[-0.02466905] , [1.31865918]
[-0.023472] , [1.81142962]
[0.00142115] , [1.43078489]
[0.02951719] , [0.58711848]
[0.05896906] , [2.96913221]
[0.08066391] , [-0.05932784]
[0.12549623] , [3.85686578]
[0.24112183] , [1.80864034]
[0.24216727] , [2.61338085]
[0.25394701] , [1.32433809]
[0.2639624] , [3.29001333]
[0.40608378] , [3.68664574]
[0.44220322] , [4.78976728]
[0.62815555] , [3.89876817]
[0.71342522] , [5.21367181]
[1.02011605] , [11.97618679]
[1.10055479] , [11.057991]
[1.19223674] , [14.56875387]
[1.28018935] , [16.45379725]
[1.39721861] , [22.94469197]
[1.44996722] , [23.97946521]
[1.61599657] , [33.36351019]
[1.63743866] , [33.18219201]
[1.69285857] , [36.64902413]
[1.81969459] , [46.65702437]
[1.95465997] , [60.08636032]
[1.96806525] , [62.28811652]
[2.00578446] , [66.60836831]
[2.06530724] , [74.72102981]
[2.25305771] , [107.60216961]
[2.39077947] , [140.34219829]
[2.52592556] , [181.89368246]
[2.65524447] , [234.21769421]
[2.69956378] , [254.27721852]
[2.74637158] , [276.17672116]
[2.84587024] , [334.69769152]
[3.00349685] , [450.35848979]
[3.15648669] , [601.66738602]
[3.31113137] , [811.31521914]
[3.32466476] , [828.99795754]
[3.4434196] , [1040.4007772]
[3.59713522] , [1393.94893875]
[3.75109543] , [1867.17416039]
[3.77220469] , [1945.2249752]
[3.88548284] , [2412.90984199]
