[-3.69705039] , [-0.2980384]
[-3.59179507] , [-1.15398954]
[-3.52886916] , [-3.03806152]
[-3.36178114] , [-0.3386649]
[-3.35830126] , [-0.72545756]
[-3.20068364] , [0.37009953]
[-2.81677403] , [0.79982553]
[-2.76807528] , [0.69444168]
[-2.75186753] , [1.01885106]
[-2.62692281] , [-0.52995656]
[-2.4424725] , [0.74225087]
[-2.37774262] , [-0.1311744]
[-2.25683625] , [0.21657825]
[-1.99842334] , [-0.8344537]
[-1.7365677] , [0.68003599]
[-1.63067925] , [2.48651313]
[-1.59300548] , [-0.13042958]
[-1.46390908] , [0.8882888]
[-1.42410729] , [-0.42730146]
[-1.35911723] , [-0.0846848]
[-1.17206006] , [-0.54285829]
[-0.94859453] , [-0.28512968]
[-0.89366021] , [2.34816878]
[-0.75698736] , [0.33672102]
[-0.71603538] , [0.0459008]
[-0.69812441] , [1.96500295]
[-0.6654469] , [2.04299471]
[-0.53155391] , [-0.49303889]
[-0.53120142] , [1.12981874]
[-0.37095083] , [0.32297992]
[-0.32624334] , [-0.10402464]
[-0.26691939] , [0.45360976]
[-0.16421188] , [3.90726599]
[-0.16068756] , [1.77076146]
[-0.06429746] , [0.54385577]
[-0.02466905] , [1.66375269]
[-0.023472] , [1.68461037]
[0.00142115] , [0.91237038]
[0.02951719] , [2.52677585]
[0.05896906] , [0.12091708]
[0.08066391] , [0.91069401]
[0.12549623] , [2.75159901]
[0.24112183] , [1.21597838]
[0.24216727] , [4.04424421]
[0.25394701] , [1.27579289]
[0.2639624] , [2.61338511]
[0.40608378] , [3.30046226]
[0.44220322] , [5.79842423]
[0.62815555] , [4.70253809]
[0.71342522] , [7.89493117]
[1.02011605] , [11.72734006]
[1.10055479] , [14.88454238]
[1.19223674] , [17.71197089]
[1.28018935] , [22.4453679]
[1.39721861] , [28.23195176]
[1.44996722] , [32.11467066]
[1.61599657] , [44.01810026]
[1.63743866] , [47.3996264]
[1.69285857] , [50.92023782]
[1.81969459] , [68.09962597]
[1.95465997] , [92.26196245]
[1.96806525] , [93.69781558]
[2.00578446] , [100.96601155]
[2.06530724] , [116.19442115]
[2.25305771] , [171.83527298]
[2.39077947] , [225.31078492]
[2.52592556] , [301.43423144]
[2.65524447] , [395.97153483]
[2.69956378] , [434.42674256]
[2.74637158] , [478.60369673]
[2.84587024] , [592.60593777]
[3.00349685] , [822.71470372]
[3.15648669] , [1135.14110575]
[3.31113137] , [1570.31980913]
[3.32466476] , [1613.98372363]
[3.4434196] , [2073.92246501]
[3.59713522] , [2863.08202074]
[3.75109543] , [3955.50019884]
[3.77220469] , [4134.93222776]
[3.88548284] , [5242.57126385]
