[-3.69705039] , [2.49029389]
[-3.59179507] , [-0.59448697]
[-3.52886916] , [-0.41166593]
[-3.36178114] , [-0.49647154]
[-3.35830126] , [0.77950863]
[-3.20068364] , [-0.68046118]
[-2.81677403] , [0.37501676]
[-2.76807528] , [0.33709948]
[-2.75186753] , [0.42851066]
[-2.62692281] , [-0.7971631]
[-2.4424725] , [0.41115717]
[-2.37774262] , [0.03803139]
[-2.25683625] , [-2.21121747]
[-1.99842334] , [-0.79025785]
[-1.7365677] , [0.7057645]
[-1.63067925] , [0.92093753]
[-1.59300548] , [1.65070403]
[-1.46390908] , [0.24160913]
[-1.42410729] , [0.07725317]
[-1.35911723] , [0.26948857]
[-1.17206006] , [-0.5011186]
[-0.94859453] , [1.45643542]
[-0.89366021] , [0.99558213]
[-0.75698736] , [0.09383924]
[-0.71603538] , [1.89012195]
[-0.69812441] , [1.23562986]
[-0.6654469] , [-0.92317475]
[-0.53155391] , [-0.36635288]
[-0.53120142] , [1.15321111]
[-0.37095083] , [0.66112361]
[-0.32624334] , [0.25923124]
[-0.26691939] , [2.01432296]
[-0.16421188] , [1.78011187]
[-0.16068756] , [0.69616172]
[-0.06429746] , [1.77910576]
[-0.02466905] , [-1.34193545]
[-0.023472] , [1.90239384]
[0.00142115] , [2.21352566]
[0.02951719] , [3.25337156]
[0.05896906] , [-0.12071776]
[0.08066391] , [3.51624214]
[0.12549623] , [1.43195067]
[0.24112183] , [0.07575399]
[0.24216727] , [2.11108053]
[0.25394701] , [3.88972564]
[0.2639624] , [2.60726934]
[0.40608378] , [2.49149288]
[0.44220322] , [0.04567536]
[0.62815555] , [3.06328563]
[0.71342522] , [5.10778069]
[1.02011605] , [3.81932105]
[1.10055479] , [4.98603717]
[1.19223674] , [3.74709503]
[1.28018935] , [5.22827384]
[1.39721861] , [3.87738604]
[1.44996722] , [4.93945784]
[1.61599657] , [7.55747592]
[1.63743866] , [5.99659007]
[1.69285857] , [6.02135262]
[1.81969459] , [8.82908888]
[1.95465997] , [9.41252234]
[1.96806525] , [8.86757464]
[2.00578446] , [8.10484458]
[2.06530724] , [10.28168205]
[2.25305771] , [11.74272097]
[2.39077947] , [12.59365426]
[2.52592556] , [14.69203115]
[2.65524447] , [16.4507757]
[2.69956378] , [17.01137041]
[2.74637158] , [17.94515812]
[2.84587024] , [18.91951482]
[3.00349685] , [22.86128027]
[3.15648669] , [26.35515883]
[3.31113137] , [31.11449451]
[3.32466476] , [30.91030519]
[3.4434196] , [33.79761348]
[3.59713522] , [37.80636126]
[3.75109543] , [43.16211589]
[3.77220469] , [45.16406337]
[3.88548284] , [48.12693957]
