[-3.69705039] , [0.55473635]
[-3.59179507] , [0.12990685]
[-3.52886916] , [0.30915565]
[-3.36178114] , [1.37007603]
[-3.35830126] , [0.73912976]
[-3.20068364] , [0.6021743]
[-2.81677403] , [0.03067001]
[-2.76807528] , [0.78395727]
[-2.75186753] , [1.37078683]
[-2.62692281] , [2.25860561]
[-2.4424725] , [1.08874412]
[-2.37774262] , [1.61568379]
[-2.25683625] , [1.62286827]
[-1.99842334] , [1.57743762]
[-1.7365677] , [2.40290594]
[-1.63067925] , [0.0175366]
[-1.59300548] , [0.25647718]
[-1.46390908] , [0.54185212]
[-1.42410729] , [-0.48579865]
[-1.35911723] , [2.04590698]
[-1.17206006] , [2.49122266]
[-0.94859453] , [0.81249728]
[-0.89366021] , [0.8502241]
[-0.75698736] , [-0.20165012]
[-0.71603538] , [1.21722631]
[-0.69812441] , [0.60053628]
[-0.6654469] , [0.4157067]
[-0.53155391] , [2.39080868]
[-0.53120142] , [0.19970583]
[-0.37095083] , [1.45741483]
[-0.32624334] , [1.31978175]
[-0.26691939] , [2.51286303]
[-0.16421188] , [2.0981295]
[-0.16068756] , [0.39620638]
[-0.06429746] , [0.73243733]
[-0.02466905] , [1.55353293]
[-0.023472] , [1.71850753]
[0.00142115] , [2.60378367]
[0.02951719] , [1.61440125]
[0.05896906] , [2.34747668]
[0.08066391] , [2.40506402]
[0.12549623] , [1.35035696]
[0.24112183] , [-0.65023511]
[0.24216727] , [0.46897841]
[0.25394701] , [1.2514665]
[0.2639624] , [3.3903835]
[0.40608378] , [2.15940854]
[0.44220322] , [0.422689]
[0.62815555] , [0.9628815]
[0.71342522] , [0.17639121]
[1.02011605] , [0.79586165]
[1.10055479] , [1.66804999]
[1.19223674] , [2.04283176]
[1.28018935] , [2.94679702]
[1.39721861] , [1.79263357]
[1.44996722] , [2.6296821]
[1.61599657] , [1.26602027]
[1.63743866] , [3.11879742]
[1.69285857] , [2.92500102]
[1.81969459] , [1.56387305]
[1.95465997] , [1.87134204]
[1.96806525] , [4.27440282]
[2.00578446] , [2.08469461]
[2.06530724] , [3.88594777]
[2.25305771] , [1.93224244]
[2.39077947] , [3.06869831]
[2.52592556] , [1.97238113]
[2.65524447] , [2.82321123]
[2.69956378] , [3.74334089]
[2.74637158] , [1.70117659]
[2.84587024] , [4.16667043]
[3.00349685] , [4.06695637]
[3.15648669] , [3.40978399]
[3.31113137] , [4.46510833]
[3.32466476] , [3.09774926]
[3.4434196] , [6.01862402]
[3.59713522] , [5.89053062]
[3.75109543] , [7.49802604]
[3.77220469] , [4.58971032]
[3.88548284] , [2.99136483]
