[-3.69705039] , [0.99978901]
[-3.59179507] , [0.02059287]
[-3.52886916] , [-0.22905729]
[-3.36178114] , [1.967597]
[-3.35830126] , [-0.63932586]
[-3.20068364] , [0.97042457]
[-2.81677403] , [1.13642124]
[-2.76807528] , [0.5716429]
[-2.75186753] , [0.25678133]
[-2.62692281] , [0.66148498]
[-2.4424725] , [0.84122848]
[-2.37774262] , [-0.01896608]
[-2.25683625] , [1.44950164]
[-1.99842334] , [0.8106976]
[-1.7365677] , [0.80518464]
[-1.63067925] , [0.629096]
[-1.59300548] , [1.36583318]
[-1.46390908] , [-0.49521654]
[-1.42410729] , [0.29086204]
[-1.35911723] , [0.85890761]
[-1.17206006] , [0.41837247]
[-0.94859453] , [0.94179522]
[-0.89366021] , [1.77016611]
[-0.75698736] , [2.56878142]
[-0.71603538] , [1.15173961]
[-0.69812441] , [1.14760993]
[-0.6654469] , [-0.28260263]
[-0.53155391] , [2.86497692]
[-0.53120142] , [-0.91450559]
[-0.37095083] , [2.41222086]
[-0.32624334] , [-0.42338759]
[-0.26691939] , [-0.36734617]
[-0.16421188] , [0.71428756]
[-0.16068756] , [0.94913118]
[-0.06429746] , [0.75153072]
[-0.02466905] , [2.88085218]
[-0.023472] , [-1.97180965]
[0.00142115] , [-0.41025772]
[0.02951719] , [2.3395017]
[0.05896906] , [0.40647012]
[0.08066391] , [1.16885482]
[0.12549623] , [1.74974741]
[0.24112183] , [2.06131393]
[0.24216727] , [3.753798]
[0.25394701] , [2.77241505]
[0.2639624] , [2.53629764]
[0.40608378] , [1.42949296]
[0.44220322] , [3.18046588]
[0.62815555] , [2.37825247]
[0.71342522] , [2.82257046]
[1.02011605] , [2.4716011]
[1.10055479] , [0.84511608]
[1.19223674] , [3.62558464]
[1.28018935] , [3.10959697]
[1.39721861] , [2.75685678]
[1.44996722] , [0.27997783]
[1.61599657] , [2.53470995]
[1.63743866] , [2.86452135]
[1.69285857] , [4.46616741]
[1.81969459] , [2.82958413]
[1.95465997] , [5.13847021]
[1.96806525] , [5.28512467]
[2.00578446] , [3.44044996]
[2.06530724] , [5.98562451]
[2.25305771] , [4.26979284]
[2.39077947] , [4.59393724]
[2.52592556] , [5.41796228]
[2.65524447] , [4.33979392]
[2.69956378] , [6.161289]
[2.74637158] , [4.78227603]
[2.84587024] , [6.73664445]
[3.00349685] , [5.74034977]
[3.15648669] , [6.63551432]
[3.31113137] , [7.66754855]
[3.32466476] , [8.17848904]
[3.4434196] , [7.44962968]
[3.59713522] , [7.09101769]
[3.75109543] , [9.06151271]
[3.77220469] , [10.45114737]
[3.88548284] , [9.2487195]
