[-3.69705039] , [1.16702945]
[-3.59179507] , [0.5383122]
[-3.52886916] , [1.25814862]
[-3.36178114] , [-0.34809177]
[-3.35830126] , [-0.16142404]
[-3.20068364] , [-0.96227335]
[-2.81677403] , [-1.17494309]
[-2.76807528] , [0.8842424]
[-2.75186753] , [-2.20360578]
[-2.62692281] , [-0.77247804]
[-2.4424725] , [0.23913269]
[-2.37774262] , [-0.39470992]
[-2.25683625] , [0.92358638]
[-1.99842334] , [-0.71714294]
[-1.7365677] , [-0.08461597]
[-1.63067925] , [0.01900647]
[-1.59300548] , [-0.27161314]
[-1.46390908] , [-1.31969803]
[-1.42410729] , [0.09604603]
[-1.35911723] , [0.43290152]
[-1.17206006] , [0.92845362]
[-0.94859453] , [1.25278129]
[-0.89366021] , [1.16875376]
[-0.75698736] , [0.68877979]
[-0.71603538] , [1.15885863]
[-0.69812441] , [0.37303416]
[-0.6654469] , [0.11594518]
[-0.53155391] , [1.18673509]
[-0.53120142] , [0.10135749]
[-0.37095083] , [1.33886327]
[-0.32624334] , [0.81994277]
[-0.26691939] , [2.15691258]
[-0.16421188] , [1.31021775]
[-0.16068756] , [2.73282797]
[-0.06429746] , [0.04124601]
[-0.02466905] , [1.68911091]
[-0.023472] , [2.27644164]
[0.00142115] , [1.63402222]
[0.02951719] , [2.45599329]
[0.05896906] , [1.19056402]
[0.08066391] , [1.55748423]
[0.12549623] , [2.09741753]
[0.24112183] , [3.25253024]
[0.24216727] , [1.88702852]
[0.25394701] , [2.4973691]
[0.2639624] , [3.13288824]
[0.40608378] , [2.91003678]
[0.44220322] , [2.60961936]
[0.62815555] , [3.41725393]
[0.71342522] , [5.43956486]
[1.02011605] , [9.59497112]
[1.10055479] , [8.75444831]
[1.19223674] , [11.25227648]
[1.28018935] , [12.30638652]
[1.39721861] , [15.10173194]
[1.44996722] , [16.70991579]
[1.61599657] , [23.24695309]
[1.63743866] , [24.78516385]
[1.69285857] , [26.45615315]
[1.81969459] , [32.25661159]
[1.95465997] , [41.41501167]
[1.96806525] , [42.75051216]
[2.00578446] , [45.67030785]
[2.06530724] , [51.04450806]
[2.25305771] , [68.75156834]
[2.39077947] , [90.69948544]
[2.52592556] , [110.54457165]
[2.65524447] , [137.94218212]
[2.69956378] , [148.63053352]
[2.74637158] , [160.68518336]
[2.84587024] , [189.12303032]
[3.00349685] , [247.4040494]
[3.15648669] , [320.17494014]
[3.31113137] , [417.84189155]
[3.32466476] , [427.37339359]
[3.4434196] , [523.68642431]
[3.59713522] , [678.00902542]
[3.75109543] , [881.4217418]
[3.77220469] , [914.62159693]
[3.88548284] , [1108.80310251]
