[-3.69705039] , [-0.60624631]
[-3.59179507] , [0.35524653]
[-3.52886916] , [0.20445011]
[-3.36178114] , [1.4890649]
[-3.35830126] , [-0.27697231]
[-3.20068364] , [1.73294405]
[-2.81677403] , [0.05933233]
[-2.76807528] , [0.68807913]
[-2.75186753] , [0.33190871]
[-2.62692281] , [0.46815293]
[-2.4424725] , [1.66046425]
[-2.37774262] , [-1.71943594]
[-2.25683625] , [-0.40756876]
[-1.99842334] , [0.93817193]
[-1.7365677] , [1.11983615]
[-1.63067925] , [-0.95848295]
[-1.59300548] , [1.63427473]
[-1.46390908] , [2.38433893]
[-1.42410729] , [-0.54264282]
[-1.35911723] , [1.06638382]
[-1.17206006] , [0.54989418]
[-0.94859453] , [2.31003471]
[-0.89366021] , [1.39617275]
[-0.75698736] , [0.0172902]
[-0.71603538] , [-0.00958824]
[-0.69812441] , [3.56043483]
[-0.6654469] , [1.12976653]
[-0.53155391] , [0.18178361]
[-0.53120142] , [1.36306007]
[-0.37095083] , [2.27277044]
[-0.32624334] , [1.44294322]
[-0.26691939] , [1.62928862]
[-0.16421188] , [1.99550203]
[-0.16068756] , [2.17107711]
[-0.06429746] , [2.33644874]
[-0.02466905] , [1.49329157]
[-0.023472] , [0.67428644]
[0.00142115] , [2.35473809]
[0.02951719] , [2.73831624]
[0.05896906] , [0.10032563]
[0.08066391] , [0.39876151]
[0.12549623] , [0.99425834]
[0.24112183] , [-0.12970073]
[0.24216727] , [1.37685633]
[0.25394701] , [2.28433922]
[0.2639624] , [1.88235198]
[0.40608378] , [2.20201374]
[0.44220322] , [0.79296719]
[0.62815555] , [3.12778413]
[0.71342522] , [3.49262769]
[1.02011605] , [4.40349309]
[1.10055479] , [3.74196596]
[1.19223674] , [3.78504907]
[1.28018935] , [3.86919149]
[1.39721861] , [4.55562951]
[1.44996722] , [3.83202752]
[1.61599657] , [3.32668277]
[1.63743866] , [2.82005368]
[1.69285857] , [1.98882963]
[1.81969459] , [5.61369032]
[1.95465997] , [7.74648605]
[1.96806525] , [4.88031458]
[2.00578446] , [3.76026097]
[2.06530724] , [6.27342471]
[2.25305771] , [7.1842239]
[2.39077947] , [7.73440442]
[2.52592556] , [6.83710619]
[2.65524447] , [10.14351059]
[2.69956378] , [8.41101725]
[2.74637158] , [10.21398305]
[2.84587024] , [12.25385622]
[3.00349685] , [10.37407871]
[3.15648669] , [12.92047411]
[3.31113137] , [14.37810502]
[3.32466476] , [15.60297388]
[3.4434196] , [16.20696605]
[3.59713522] , [19.09908866]
[3.75109543] , [20.30079879]
[3.77220469] , [20.16655416]
[3.88548284] , [22.73330883]
