[-3.69705039] , [0.95087096]
[-3.59179507] , [1.90279139]
[-3.52886916] , [0.85286875]
[-3.36178114] , [-1.68084132]
[-3.35830126] , [-1.35886507]
[-3.20068364] , [-0.59202503]
[-2.81677403] , [2.18571854]
[-2.76807528] , [0.31167583]
[-2.75186753] , [0.10800691]
[-2.62692281] , [0.68618401]
[-2.4424725] , [1.68879947]
[-2.37774262] , [-0.3824036]
[-2.25683625] , [-1.10186961]
[-1.99842334] , [-0.64737062]
[-1.7365677] , [0.43758003]
[-1.63067925] , [0.04037297]
[-1.59300548] , [2.22724576]
[-1.46390908] , [-0.19858183]
[-1.42410729] , [0.22001533]
[-1.35911723] , [0.70694211]
[-1.17206006] , [-0.67856993]
[-0.94859453] , [-1.55015155]
[-0.89366021] , [-0.87116487]
[-0.75698736] , [0.79479525]
[-0.71603538] , [0.29229641]
[-0.69812441] , [0.275982]
[-0.6654469] , [0.44772863]
[-0.53155391] , [0.22189259]
[-0.53120142] , [1.56492826]
[-0.37095083] , [1.02375684]
[-0.32624334] , [0.0503962]
[-0.26691939] , [2.31055534]
[-0.16421188] , [1.09023364]
[-0.16068756] , [1.14304771]
[-0.06429746] , [1.69693815]
[-0.02466905] , [1.51251969]
[-0.023472] , [2.85446181]
[0.00142115] , [2.38283234]
[0.02951719] , [1.43355016]
[0.05896906] , [0.32559316]
[0.08066391] , [0.49215595]
[0.12549623] , [0.79657059]
[0.24112183] , [2.16014549]
[0.24216727] , [2.99187414]
[0.25394701] , [2.41018068]
[0.2639624] , [3.36244865]
[0.40608378] , [2.18991119]
[0.44220322] , [2.06203332]
[0.62815555] , [2.49660037]
[0.71342522] , [4.10686734]
[1.02011605] , [8.03993961]
[1.10055479] , [7.1092531]
[1.19223674] , [7.52879084]
[1.28018935] , [9.43478712]
[1.39721861] , [13.05140905]
[1.44996722] , [13.86029767]
[1.61599657] , [17.20519897]
[1.63743866] , [18.08015627]
[1.69285857] , [18.25529872]
[1.81969459] , [23.78338497]
[1.95465997] , [27.73838261]
[1.96806525] , [27.35455252]
[2.00578446] , [30.98780041]
[2.06530724] , [35.35350115]
[2.25305771] , [44.8325311]
[2.39077947] , [53.18837512]
[2.52592556] , [65.29288914]
[2.65524447] , [79.05570923]
[2.69956378] , [86.21950427]
[2.74637158] , [90.82060861]
[2.84587024] , [106.46758677]
[3.00349685] , [135.7858972]
[3.15648669] , [171.62754496]
[3.31113137] , [216.61674464]
[3.32466476] , [219.76656199]
[3.4434196] , [263.52867927]
[3.59713522] , [328.40490854]
[3.75109543] , [416.96141931]
[3.77220469] , [429.88460584]
[3.88548284] , [510.25118486]
