[-3.69705039] , [0.23467463]
[-3.59179507] , [0.80552408]
[-3.52886916] , [1.31941353]
[-3.36178114] , [1.94806781]
[-3.35830126] , [1.63891414]
[-3.20068364] , [1.58344955]
[-2.81677403] , [1.3561327]
[-2.76807528] , [1.93313173]
[-2.75186753] , [-0.36515424]
[-2.62692281] , [0.44833005]
[-2.4424725] , [0.76188198]
[-2.37774262] , [2.12909105]
[-2.25683625] , [1.0398558]
[-1.99842334] , [1.32525125]
[-1.7365677] , [-0.11813764]
[-1.63067925] , [1.8413983]
[-1.59300548] , [0.67585317]
[-1.46390908] , [2.43550717]
[-1.42410729] , [1.27424999]
[-1.35911723] , [1.41535773]
[-1.17206006] , [-0.21736028]
[-0.94859453] , [2.40771006]
[-0.89366021] , [0.63650444]
[-0.75698736] , [1.28259607]
[-0.71603538] , [0.75406428]
[-0.69812441] , [2.0319412]
[-0.6654469] , [0.89586765]
[-0.53155391] , [0.6621475]
[-0.53120142] , [0.67564808]
[-0.37095083] , [0.88159892]
[-0.32624334] , [2.54653218]
[-0.26691939] , [1.60953732]
[-0.16421188] , [1.07523817]
[-0.16068756] , [0.40110908]
[-0.06429746] , [0.83004458]
[-0.02466905] , [0.16521625]
[-0.023472] , [1.65934829]
[0.00142115] , [2.5090772]
[0.02951719] , [3.47796715]
[0.05896906] , [3.29388242]
[0.08066391] , [1.4109578]
[0.12549623] , [1.39178892]
[0.24112183] , [3.16225273]
[0.24216727] , [1.22505227]
[0.25394701] , [1.43243729]
[0.2639624] , [2.02809787]
[0.40608378] , [1.51899235]
[0.44220322] , [1.23410362]
[0.62815555] , [2.73721041]
[0.71342522] , [1.73177083]
[1.02011605] , [1.34097961]
[1.10055479] , [1.48637816]
[1.19223674] , [1.75712595]
[1.28018935] , [1.28168042]
[1.39721861] , [1.92145671]
[1.44996722] , [2.47832356]
[1.61599657] , [1.23746151]
[1.63743866] , [1.37149597]
[1.69285857] , [1.09461167]
[1.81969459] , [0.93825369]
[1.95465997] , [1.5411788]
[1.96806525] , [-1.2544771]
[2.00578446] , [0.88732505]
[2.06530724] , [2.77795541]
[2.25305771] , [2.85983383]
[2.39077947] , [1.53858169]
[2.52592556] , [1.28880546]
[2.65524447] , [1.99594759]
[2.69956378] , [1.407436]
[2.74637158] , [2.23409944]
[2.84587024] , [1.51534744]
[3.00349685] , [-0.83262925]
[3.15648669] , [1.82970009]
[3.31113137] , [1.26787421]
[3.32466476] , [3.04787058]
[3.4434196] , [1.9497493]
[3.59713522] , [2.70303291]
[3.75109543] , [2.44110707]
[3.77220469] , [3.13621656]
[3.88548284] , [1.84909799]
